qid,query
8537,What is an “Options Account”? 1. Options Trading 2. Account Opening 3. Trading Agreement 4. Derivative Contract 5. Investment Strategy 6. Market Positioning 7. Risk Management 8. Financial Instrument 9. Bro
3357,Why big clients want the contractor to be incorporated before giving them work 1. Corporate structure 2. Contractor liability 3. Legal protection 4. Investor confidence 5. Financial stability 6. Creditworthiness 7. Risk mitigation 8. Contract enforceability 9. Business
1783,Freelancing Tax implication - Self-employment tax - Freelancers tax - Independent contractor tax - Freelance income tax -
6004,Put-Call parity - what is the difference between the two representations? 1. Call Option 2. Put Option 3. Strike Price 4. Time to Expiration 5. Underlying Asset 6. Risk-Free Rate 7. Dividend Yield 8. Present Value 9. Arbitrage O
2923,Should I give to charity by check or credit card? cashless donation credit card giving digital philanthropy electronic charity online giving non-cash contributions virtual donations checkless giving electronic funds transfer online charity
5271,Why are auto leases stubbornly strict about visa status and how to work around that? visa requirements lease agreements international drivers legal workaround insurance implications creditworthiness employment status immigration law leasing policies cross-border mobility
2108,Can I pay taxes using bill pay from my on-line checking account? online banking bill payment tax payment checking account financial services electronic funds transfer banking platform account management tax software direct debit
7590,Why are US target retirement funds weighted so heavily towards US stocks? Diversification US equity investment strategy retirement funds market exposure asset allocation geographic concentration risk management portfolio construction long-term growth
932,Is freelance income earned by a U.S. citizen while living abroad subject to state income tax? 2. U.S. Taxation 3. State Tax 4. Freelance Income 5. Expatriate 6. Tax Residency 7. International Taxation 8. Tax Treaty
5981,Is it a good investment for a foreigner to purchase a flat/apartment in China? Real estate market foreign investment China property investment potential housing prices legal considerations currency exchange property taxes rental income market trends
4837,"When applying for a mortgage, can it also cover outstanding debts? 1. Mortgage coverage 2. Debt consolidation 3. Loan amortization 4. Principal balance 5. Interest rate 6. Credit score 7. Debt-to-income ratio 8. Escrow account 9."
4415,How much is inflation? Inflation rate Consumer Price Index Purchasing Power Cost of Living Price Stability Inflation Target Inflationary Pressure Hyperinflation Deflation Inflationary Gap
1915,Should I pay a company who failed to collect VAT from me over 6 months ago? VAT recovery Tax liability Late payment Fines Audit Compliance Penalties Tax debt Settlement Negotiation
8378,Should I wait a few days to sell ESPP Stock? vesting stock options employee purchase plan market timing selling strategy equity compensation vesting schedule financial planning stock valuation investment horizon
2316,What exchange rate does El Al use when converting final payment amount to shekels? - Final payment conversion - Shekel exchange - Airline currency conversion - Shekel to dollars - Currency exchange - Payment conversion rate - Shekel value - El Al
8102,When do I sell a stock that I hold as a long-term position? Long-term hold selling strategy investment horizon capital gains portfolio rebalancing market conditions profit realization equity valuation risk management financial planning
3405,Non Resident aliens - Question of standard vs itemized 1. Tax filing 2. Itemized deductions 3. Standard deduction 4. Foreign income 5. Tax brackets 6. Tax credits 7. Tax treaties 9. Investment income
7928,"If I believe a stock is going to fall, what options do I have to invest on this? covered call put options bear put spread protective put short straddle bear call spread naked put bear put spread strategy selling put options put credit spread"
603,Will one’s education loan application be rejected if one doesn t have a payslip providing collateral? collateral education loan payslip application rejection financial documentation lender creditworthiness income verification loan approval
1281,How FTB and IRS find mistakes in amended tax returns? Are their processes reliable? 1. Tax return audits 2. Error detection 3. IRS procedures 4. FTB verification 5. Amended returns 6. Compliance checks 7. Data analysis 8. Audit reliability 9. Taxpayer records 10.
3830,US citizen transferring money to Indian fiance to buy property 1. Remittance 2. International money transfer 3. Cross-border transaction 4. Financial planning 5. Property investment 6. Immigration finance 7. Currency exchange 8. Financial remittance 9. Global
3837,"Opening a Roth IRA account, what is the fee structure for Vanguard, Scottrade and TIAA-CREF 1. Roth IRA 2. Vanguard 3. Scottrade 4. TIAA-CREF 5. Account opening 6. Fee structure 7. Investment 8. Retirement 9. Financial services 10."
4447,Should I always hold short term bonds till maturity? 1. Bond maturity 2. Short-term investment 3. Interest rate risk 4. Reinvestment risk 5. Yield curve 6. Fixed income 7. Debt security 8. Capital preservation 9. Market volatility
2376,Why do gas stations charge different amounts in the same local area? - Fuel pricing - Regional demand - Supply chain costs - Tax variations - Retail competition - Wholesale prices - Seasonal fluctuations - Refining margins - Transportation fees - Local regulations
4777,How to finance necessary repairs to our home in order to sell it? 1. Home Repair Loans 2. Home Equity Line 3. Refinance Mortgage 4. Home Improvement Credit 5. Cash-Out Refinance 6. Personal Loan 7. Home Equity Loan 8.
5741,Learning investing and the stock market 1. Stock trading 2. Investment strategies 3. Market analysis 4. Portfolio diversification 5. Risk management 6. Financial literacy 7. Economic indicators 8. Asset allocation 9. Capital gains
2318,F1 student and eBay selling tax 1. Student entrepreneurship 2. Online marketplace 3. E-commerce taxation 4. F1 visa business 5. Tax compliance 6. Secondary income 7. International sales 8. Tax deductions 9. Business expenses
620,Is it wise to have plenty of current accounts in different banks? 1. Diversification 2. Liquidity 3. Risk Management 4. Financial Planning 5. Cash Reserves 6. Banking Options 7. Interest Rates 8. Overdraft Facilities 9. Financial
8271,Income in zero-interest environment - Zero-interest rates - Income strategies - Fixed-income alternatives - Inflation-proof investments - Dividend-paying stocks - Real estate investment - Cryptocurrency - High-yield bonds
4865,Why are historical prices of stocks different on different websites? Which one should I believe? - Price discrepancies - Data sources - Market depth - Timing differences - Trading platforms - Data feeds - Real-time vs. delayed - Regulatory compliance - Data aggregation - Market fragmentation
864,Why use accounting software like Quickbooks instead of Excel spreadsheets? 1. Automated bookkeeping 2. Real-time financial data 3. Integration capabilities 4. Error reduction 5. Scalability 6. Cloud-based access 7. Compliance tracking 8. Tax preparation 9. Reporting features 1
5888,Interest charges on balance transfer when purchases are involved - Balance transfer fees - Purchase interest rates - Credit card balance - Transfer charges - Purchasing on credit - Interest rate comparison - Balance transfer terms - Credit card debt - Finance charges - APR (Ann
2568,How to pay with cash when car shopping? - Cash payment methods - Car dealership transactions - Negotiating price - Cash discounts - Down payment - Financing options - Cash-only sales - Trade-in value - Sales tax implications - Credit check
5150,What credit card information are offline US merchants allowed to collect for purposes other than the transaction? Consumer data credit card details offline transactions merchant records personal information payment processing data security customer profiles transaction history credit card numbers
7124,How come we can find stocks with a Price-to-Book ratio less than 1? - Price-to-book - Undervalued stocks - Market inefficiency - Investment opportunity - Book value - Equity valuation - Financial analysis - Asset valuation - Shareholder value - Market anomaly
2857,"I have around 60K $. Thinking about investing in Oil, how to proceed? diversification oil investment risk assessment portfolio balance market analysis commodity trading energy sector investment strategy long-term planning financial advising"
8539,Can the risk of investing in an asset be different for different investors? 1. Risk Tolerance 2. Investor Profile 3. Asset Class 4. Diversification 5. Market Volatility 6. Investment Horizon 7. Liquidity 8. Credit Risk 9. Interest
6896,"Selling high, pay capital gains, re-purchase later 1. Capital Gains 2. Sell High 3. Re-purchase 4. Short Sale 5. Stock Market 6. Investment Strategy 7. Profit Realization 8. Market Timing 9. Equity Trading"
1085,How do disputed debts work on credit reports? 1. Credit Report Discrepancies 2. Debt Collection 3. Credit Score Impact 4. Dispute Process 5. Negative Marks 6. Credit Reporting Agencies 7. Statute of Limitations 8.
5422,"What are some good books for learning stocks, bonds, derivatives e.t.c for beginner with a math background? Investment Strategies Financial Mathematics Stock Market Basics Bond Fundamentals Derivative Trading Risk Management Portfolio Theory Quantitative Analysis Option Pricing Futures Contracts"
8247,Tax on Stocks or ETF s - Capital gains tax - ETF taxation - Stock tax - Dividend tax - Long-term capital gains - Short-term capital gains - Tax-exempt ETFs - Tax-advantaged accounts - Tax rates
4946,Something looks off about Mitsubishi financial data Mitsubishi financial anomalies data irregularities accounting discrepancies financial reporting audit concerns market volatility investment risk economic indicators fiscal analysis
10482,Rollover into bond fund to do dollar cost averaging [duplicate] 1. Bond Fund 2. Dollar Cost Averaging 3. Rollover 4. Investment Strategy 5. Financial Planning 6. Retirement Savings 7. Asset Allocation 8. Market Timing 9. Port
4571,"HSBC Hong Kong s “Deposit Plus” Product What is it, and what strategies to employ? - Deposit Rates - Competitive Banking - Hong Kong Finance - Savings Products - Interest Rate Strategies - Financial Services - Banking Products - Customer Incentives - Financial Incentives"
8789,What does “profits to the shareholders jumped to 15 cents a share” mean? Earnings per share shareholder profit financial growth profit increase earnings report shareholder value quarterly results profit margin corporate earnings stock performance
8034,What is the average cost of a portfolio on a trading site? 1. Portfolio cost 2. Average expense 3. Trading fees 4. Investment charges 5. Brokerage rates 6. Fund management fees 7. Transaction costs 8. Account maintenance fees 9. Performance fe
4600,"Why government bonds fluctuate so much, even though interest rates don t change that often? Interest rate fluctuations bond market volatility investor sentiment credit risk inflation expectations economic indicators monetary policy yield curve duration risk market liquidity"
2423,At what age should I start or stop saving money? 1. Savings age 2. Retirement planning 3. Investment milestones 4. Financial independence 5. Age of contribution 6. Savings cessation 7. Wealth accumulation 8. Pension age 9. Compound
8475,Why I cannot find a “Pure Cash” option in 401k investments? Cash allocation retirement savings 401k investment options fixed income risk-free investment money market funds cash equivalents liquidity emergency fund conservative portfolio
4523,What should I do with my $25k to invest as a 20 years old? Young investor $25 000 investment strategies long-term growth diversified portfolio risk management compound interest retirement savings stocks
8513,Buy on dip when earnings fail? Earnings dip buy investment stock market strategy sentiment volatility correction
1198,What are the consequences of IRS “reclassification” on both employer and employee? 1. Tax Liability 2. Wage Adjustments 3. Payroll Compliance 4. Audit Risk 5. Employee Benefits 6. Tax Deductions 7. Financial Planning 8. Regulatory Compliance 9
9291,Are there any consequences for investing in Vanguard s Admiral Shares funds instead of ETF s in a Roth IRA? 1. Roth IRA 2. Vanguard 3. Admiral Shares 4. ETF 5. Investment Consequences 6. Tax Implications 7. Retirement Accounts 8. Fund Comparison 9. Investment Strategy
8532,What do these options trading terms mean? 1. Call Option 2. Put Option 3. Strike Price 4. Expiration Date 5. Premium 6. Delta 7. Gamma 8. Vega 9. Theta 10. Rho
1824,Is there a way to open a U.S. bank account for my LLC remotely? Remote banking U.S. bank account LLC online setup financial services banking access international business virtual banking financial management banking regulations
5054,How to stress test an investment plan? 1. Risk assessment 2. Scenario analysis 3. Sensitivity testing 4. Monte Carlo simulation 5. Historical backtesting 6. Volatility modeling 7. Liquidity evaluation 8. Stress factors 9. Portfolio divers
1159,what is the best way to do a freelancing job over the summer for a student freelancing summer jobs student work gig economy remote work project-based financial independence skill development time management online platforms
4920,Does financing a portfolio on margin affect the variance of a portfolio? Leverage portfolio variance margin financing risk exposure financial leverage investment risk equity financing debt financing capital structure interest rate risk
68,Intentions of Deductible Amount for Small Business - Tax deduction - Small business - Deductible expenses - Tax planning - Business expenses - Accounting - Tax credits - Financial planning - Income reduction - Tax savings
7269,How do I track investment performance in Quicken across rollovers? 1. Investment tracking 2. Quicken 3. Rollovers 4. Performance 5. Financial software 6. Portfolio management 7. Asset allocation 8. Transaction history 9. Account reconciliation 10. Fin
750,Paid part of my state refund back last year; now must declare the initial amount as income? tax return state refund income declaration taxable income tax filing taxable amount tax adjustment taxable event tax liability taxable period
9701,How to bet against the London housing market? - Housing market speculation - Real estate futures - Property investment risk - Housing bubble prediction - Mortgage rate trends - Foreclosure rates - Housing affordability - Rental yield analysis - Construction sector impact
6199,How can all these countries owe so much money? Why & where did they borrow it from? - Sovereign debt - International loans - Credit markets - Fiscal deficits - Foreign investment - Eurozone crisis - Eurobonds - Global financial system - Debt restructuring - Euro adoption
9126,Short an option - random assignment? - Option trading - Random assignment - Financial derivatives - Risk management - Option strategies - Market volatility - Arbitrage opportunities - Hedging strategies - Investment portfolio - Option pricing
34,401k Transfer After Business Closure - 401k rollover - business closure - retirement funds - financial planning - investment transfer - IRA conversion - tax implications - financial advisor - account consolidation - retirement account
4011,How can I deal with a spouse who compulsively spends? 1. Financial counseling 2. Budgeting 3. Debt management 4. Joint accounts 5. Spending limits 6. Communication 7. Trust issues 8. Marital therapy 9. Credit counseling 1
4700,Better to get loan from finance company or bank considering the drop of credit score? creditworthiness loan approval finance company bank credit score interest rates debt consolidation personal finance lending criteria financial health
6395,Option settlement for calendar spreads 1. Expiration dates 2. Calendar spread 3. Option trading 4. Settlement 5. Time decay 6. Volatility 7. Strike price 8. Risk management 9. Arbitrage 10. Greeks
852,Dalbar How can the average investor lose money? 1. Behavioral finance 2. Market timing 3. Emotional decision-making 4. Investment horizon 5. Risk tolerance 6. Dollar-cost averaging 7. Portfolio diversification 8. Asset allocation 9
9115,Why does the calculation for percentage profit vary based on whether a position is short vs. long? - Short Squeeze - Profit Margin - Leverage Effect - Short Position - Long Position - Market Volatility - Interest Rate Impact - Dividend Yield - Capital Gains - Cost Basis
1297,Why aren t there solutions for electronic itemized receipt for retail in-store purchases? 1. Digital receipts 2. Retail technology 3. In-store purchases 4. Electronic receipts 5. Receipt automation 6. Point-of-sale systems 7. Customer experience 8. POS software 9.
5085,What is vested stock and yearly dividends? vesting schedule stock options equity compensation annual dividend payout dividend yield shareholder value stock performance dividend reinvestment plan capital gains stockholder rights
4767,New car buy with cash or 0% financing 1. Cash purchase 2. Zero-interest financing 3. Car lease 4. Auto loan 5. Trade-in value 6. Depreciation 7. Monthly payments 8. Loan term 9. Down payment 1
2593,Am I “cheating the system” by opening up a tiny account with a credit union and then immediately applying for a huge loan? credit union fraud loan application manipulation financial misrepresentation credit union loophole loan eligibility fraud financial deception credit union abuse loan approval manipulation financial system exploitation credit union scam
2724,How do you determine the dividend payout date for Mutual Funds? - Dividend declaration date - Payout schedule - Fund performance - Dividend yield - Investor returns - Dividend distribution - Fund disbursement - Dividend policy - Shareholder benefits - Dividend eligibility
11088,Am I required to have a lawyer create / oversee creation of my will? attorney services will creation legal oversight estate planning testamentary documents probate process legal representation will execution beneficiary designations trust establishment
18,1 EIN doing business under multiple business names - EIN diversification - Multiple business names - Entity identification - Business name registration - Tax compliance - Legal entity separation - Name variation tracking - Entity management - Business structure complexity - Regulatory adherence
109,How to account for money earned and spent prior to establishing business bank accounts? 1. Cash flow tracking 2. Pre-opening expenses 3. Revenue recognition 4. Accounting for startups 5. Initial capital allocation 6. Financial forecasting 8. Cash
8351,What happens when a calendar spread is assigned in a non-margin account? Spread non-margin account trading risk cost strategy execution limitations fees
6131,Is it ever a good idea to close credit cards? 1. Credit utilization 2. Debt consolidation 3. Interest rates 4. Credit score 5. Revolving credit 6. Balance transfer 7. Credit limit 8. Minimum payments 9. Financial health 1
3480,Why is OkPay not allowed in the United States? 1. Payment processing restrictions 2. Regulatory compliance 3. Fintech limitations 4. Banking regulations 5. Cross-border payment issues 6. Anti-money laundering laws 7. Consumer protection 8. Financial
7992,What type of pension should I get? 1. Defined Benefit Pension 2. Defined Contribution Pension 4. 401(k) Plan 5. Pension Fund 6. Social Security 7. Annuity
858,Is it bad practice to invest in stocks that fluctuate by single points throughout the day? 1. Volatility 2. Day trading 3. Market fluctuations 4. Investment risk 5. Stock stability 6. Precision trading 7. Micro-trading 8. Price sensitivity 9. Investor psych
4019,How and Should I Invest (As a college 18 year old with minimal living expenses)? 1. Investment Basics 2. College Savings 3. Minimal Expenses 4. Risk Management 5. Diversification 6. Compound Interest 7. Retirement Fund 8. Emergency Fund 9. Budgeting 10
6080,Is ScholarShare a legitimate entity for a 529 plan in California? 1. ScholarShare 2. 529 plan 3. California 4. Legitimate 5. Education savings 6. Investment account 7. Tax-advantaged 8. College funding 9. State-specific 1
2580,Stock market vs. baseball card trading analogy - Market trends - Investment value - Collectible rarity - Trade volume - Price fluctuation - Auction dynamics - Bidder competition - Historical performance - Sentiment analysis - Economic indicators
7513,Where are Bogleheadian World ETFs or Index funds? - Bogleheads - ETFs - Index funds - Investment strategy - Low-cost - Passive management - Diversification - Retirement planning - Financial planning - Market efficiency
6959,What is the term for the quantity (high price minus low price) for a stock? Range High-Low Price Spread Expansion: Interest Coverage Ratio EBIT Debt Service Coverage
5402,Is it impossible to get a home loan with a poor credit history after a divorce? credit score impact home loan eligibility divorce financial recovery lender criteria credit history assessment mortgage approval process financial advising credit repair services loan interest rates debt consolidation
4504,what is the best way of investment which gives returns forever? 1. Dividend Stocks 2. Index Funds 5. Annuities 6.
6562,"Cheapest way to “wire” money in an Australian bank account to a person in England, while I m in Laos? Remittance services international money transfer banking fees SWIFT online banking cross-border transfer cost comparison banking partnerships currency exchange rates transaction speed"
4775,Should I finance a car to build credit for a mortgage next year? credit score improvement car loan mortgage preparation debt-to-income ratio financial planning credit history auto financing loan approval interest rates credit builder loan
9565,What are the tax benefits of dividends vs selling stock - Dividend tax rate - Capital gains tax - Qualified dividends - Tax-deferred accounts - Long-term vs short-term - Tax brackets - Holding period - Tax-exempt status - Tax-loss harvesting
10734,How do you translate a per year salary into a part-time per hour job? - Salary conversion - Part-time wage - Hourly rate - Salary to hourly - Pay rate - Freelance hourly - Salary breakdown - Part-time pay - Hourly compensation - Salary to
701,What are the ins/outs of writing-off part of one s rent for working at home? - Home office deduction - Rent write-off - Work-from-home expenses - Tax deduction - Home business - Rental property - Home office space - Home office tax - Deductible expenses - Home office cost
585,Following an investment guru a good idea? 1. Investment advice 2. Guru 3. Financial decision 4. Market trends 5. Risk assessment 6. Portfolio diversification 7. Economic indicators 8. Investment strategy 9. Stock analysis 1
8934,Dividend yield for multiple years? 1. Dividend history 2. Yield trend 3. Historical yield 4. Dividend growth 5. Yield analysis 6. Dividend performance 7. Yield comparison 8. Dividend consistency 9. Yield forecast
11054,Short Term Capital Gains tax vs. IRA Withdrawal Tax w/o Quarterly Est. Taxes - Short-term vs. long-term - Capital gains tax - IRA withdrawal - Tax brackets - Estimated taxes - Retirement savings - Tax planning - Tax rates - Tax deductions - Tax credits
56,Can a entrepreneur hire a self-employed business owner? 1. Freelance contracts 2. Entrepreneurial hiring 3. Self-employment agreements 4. Independent contractor 5. Business consultancy 6. Hiring freelancers 7. Entrepreneurial staffing 8
6862,Canada discount stock brokers Interactive Brokers vs. Questrade? Interactive Brokers Questrade stock brokers discount Canada comparison services fees trading platforms investment options
9598,How do index funds actually work? Diversification passive management market returns investment funds shareholders index tracking low fees long-term growth equity exposure risk reduction
4265,Does it make any sense to directly contribute to reducing the US national debt? 1. Fiscal Policy 2. Budget Deficit 3. Debt Reduction 4. Government Spending 5. Taxation 6. National Debt 7. Economic Stimulus 8. Public Sector 9. Fiscal Res
90,Filing personal with 1099s versus business s-corp? 1. Tax filing 2. 1099 3. S-corp 4. Personal income 5. Business expenses 6. Tax deductions 7. Income reporting 8. Corporate structure 9. Tax liability 10
8592,Tax implications of exercising ISOs and using proceeds to exercise more ISOs tax deferral ISO exercise capital gains stock options exercise strategy financial planning tax-efficient exercise proceeds employer stock long-term tax benefits
10547,How much do brokerages pay exchanges per trade? 1. Brokerage fees 2. Trade commission 3. Exchange rates 4. Trading costs 5. Payment processing 6. Settlement fees 7. Transaction charges 8. Interchange fees 9. Payment gateway fees
5231,Where to find CSV or JSON data for publicly traded companies listed with their IPO date? 1. IPO data 2. Public companies 3. CSV files 4. JSON files 5. Market listings 6. Trading information 7. Company profiles 8. Financial records 9. Data repositories 10. Investor resources
7674,Choosing the limit when making a limit order? 1. Order size 2. Limit price 3. Trade execution 4. Market conditions 5. Price threshold 6. Stop-loss order 7. Trading strategy 8. Investment risk 9. Order placement 10. Price target
3103,"AVS Address Verification System of BOTH Credit and Debit Cards - WHERE, HOW? Card Verification Address Validation Credit Card Debit Card Verification System Online Processing Fraud Prevention Payment Security Authentication Data Encryption"
10137,F-1 student investing in foreign markets 1. International Investment 2. F-1 Visa 3. Foreign Markets 4. Portfolio Diversification 5. Global Finance 6. Student Investor 7. Cross-Border Trading 8. Risk Management 9.
1415,I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT? VAT registration excl VAT incl VAT supplier prices tax obligations UK business VAT compliance invoice pricing taxable supplies VAT threshold
5940,How does investment into a private company work? equity financing private equity venture capital shareholder rights capital injection ownership stake investment round liquidity exit strategy valuation
6612,"If I have a lot of debt and the housing market is rising, should I rent and slowly pay off my debt or buy and roll the debt into a mortgage? debt consolidation mortgage refinancing rental market housing appreciation debt management long-term investment equity buildup interest rates financial planning homeownership"
945,Paid by an American company but working from France where should I pay taxes? American tax residency French tax obligations cross-border employment tax treaty expatriate taxation double taxation avoidance tax residency determination international tax law U.S. taxpayer French tax code
2549,How to graph the market year over year? for example Dow Jones Index Time series analysis Dow Jones Index year-over-year comparison stock market trends graphing financial data visualization market performance investment analysis economic indicators historical data
4714,Personal finance app where I can mark transactions as “reviewed”? budgeting transaction tracking review finance app personal finance mark categorize expenses income financial management
588,Is there a reason to buy a 0% yield bond? - low interest rates - debt financing - fixed income - credit risk - investment grade - interest rate risk - yield curve - bond duration - market liquidity - portfolio diversification
4233,"Are personal finance / money management classes taught in high school, anywhere? financial literacy high school curriculum personal finance education money management budgeting skills saving strategies investment basics credit education financial planning economic awareness"
6441,Trading with Settled / Unsettled Funds (T+3) 1. Settlement Delay 2. T+3 Trading 3. Fund Settlement 4. Trade Execution 5. Cash Flow Timing 6. Market Liquidity 7. Settlement Risk 8. Financial
8456,What typically happens to unvested stock during an acquisition? 1. Forfeiture 2. Transfer 3. Conversion 4. Liquidation 5. Retention 6. Redemption 7. Exemption 8. Assignment 9. Nullification 10. Preservation
10213,Looking for good investment vehicle for seasonal work and savings 1. Seasonal Investments 2. Savings Fund 3. Investment Vehicle 4. Work-Related Savings 5. Financial Planning 6. Retirement Account 7. Tax-Deferred Savings 8. D
106,What approaches are there for pricing a small business? 1. Cost-based pricing 2. Value-based pricing 3. Competitive pricing 4. Dynamic pricing 5. Penetration pricing 6. Skimming pricing 7. Bundle pricing 8. Premium pricing 9.
4306,How do currency markets work? What factors are behind why currencies go up or down? - Exchange rates - Currency fluctuation - Trade balance - Interest rates - Inflation - Economic indicators - Central bank policies - Market speculation - Political stability - Commodity prices
5196,I might use a credit card convenience check. What should I consider? 1. Credit card fees 2. Cash advance 3. Interest rates 4. Overdraft risk 5. Financial planning 6. Budgeting 7. Credit utilization 8. Repayment terms 9. Cash flow management
3006,"Strategies for putting away money for a child s future (college, etc.)? 1. Savings accounts 2. 529 plans 3. Education IRAs 4. Investment portfolios 5. Scholarships 6. Grants 7. Tax-advantaged accounts 8. College"
7205,Is it possible to see option prices from the past? historical option pricing option data retrieval past option quotes historical options option history option trading archive option price history options backtesting option valuation history past option performance
